city,lat,long,temp,humidity,cloud,wind
jumla,29.27,82.18,12.78,23,60,0.7
vanavara,60.34,102.28,1.59,70,0,0.68
port lincoln,-34.73,135.87,17.12,57,93,6.36
middelburg,-25.78,29.46,11.14,53,0,2.3
mandalgovi,45.76,106.27,-1.72,43,95,8.23
leningradskiy,69.38,178.42,-9.77,93,95,4.54
dhidhdhoo,6.88,73.1,30.43,68,34,3.98
dikson,73.51,80.55,0.89,94,86,7.62
saint-philippe,-21.36,55.77,19.76,73,75,10.3
livingstone,-17.84,25.85,17.21,50,21,3.27
marabba,12.35,32.18,22.34,18,74,2.6
porto santo,33.07,-16.34,16.4,77,40,5.7
nouadhibou,20.93,-17.03,19.0,68,0,10.8
iqaluit,63.75,-68.51,-20.0,70,20,2.1
sobolevo,54.43,31.9,-0.89,95,5,3.9
dimitrovgrad,54.21,49.62,4.0,68,90,2.0
albany,42.6,-73.97,9.71,58,94,1.79
theunissen,-28.41,26.7,13.28,42,0,1.67
novoagansk,61.94,76.66,7.67,66,73,3.55
mokhsogollokh,61.47,128.92,-4.45,83,7,1.89
nishihara,26.18,127.76,18.71,93,90,4.1
hualmay,-11.1,-77.61,21.14,78,6,3.2
ukiah,39.15,-123.21,13.63,55,1,3.1
kharan,28.58,65.42,23.87,30,35,2.84
tabou,4.42,-7.35,26.6,86,100,2.14
henties bay,-22.12,14.28,15.0,93,30,2.24
charters towers,-20.1,146.27,30.72,20,72,2.08
sao filipe,14.9,-24.5,21.94,72,1,7.46
urumqi,43.8,87.6,18.0,36,34,2.0
cape town,-33.93,18.42,16.7,83,93,1.79
hamza,40.43,71.5,15.76,58,7,4.1
booue,-0.09,11.94,21.67,90,39,0.59
khandbari,27.37,87.2,24.85,28,22,1.35
lerwick,60.15,-1.15,5.5,81,0,2.6
olinda,-8.01,-34.86,27.0,83,40,2.1
kabwe,-14.45,28.45,14.41,66,12,2.19
nyurba,63.28,118.33,-2.4,90,99,2.43
avarua,-21.21,-159.78,28.0,69,3,3.6
kulhudhuffushi,6.62,73.07,30.31,68,28,4.02
kapaa,22.08,-159.32,25.89,69,1,5.1
talnakh,69.49,88.4,3.0,69,99,14.0
husavik,66.04,-17.34,8.0,65,20,8.2
narsaq,60.92,-46.05,-4.0,41,1,2.1
grand gaube,-20.01,57.66,24.3,83,40,5.1
chany,55.31,76.76,11.94,74,13,3.06
huanren,41.26,125.37,6.08,80,100,2.87
pisco,-13.7,-76.22,20.81,77,0,5.7
laguna,38.42,-121.42,17.63,52,1,3.6
kudahuvadhoo,2.67,72.89,29.8,71,99,3.52
palmares do sul,-30.26,-50.51,17.56,88,0,3.31
benjamin hill,30.17,-111.1,19.08,47,31,4.1
karratha,-20.74,116.85,30.94,51,95,4.4
lucea,18.45,-78.17,25.35,78,20,1.5
buchanan,5.88,-10.05,26.0,94,40,1.15
canon city,38.44,-105.24,9.66,27,75,5.1
apastovo,55.2,48.51,4.0,75,100,2.0
sept-iles,50.2,-66.38,-0.5,92,90,6.7
general roca,-39.03,-67.58,18.0,42,74,3.1
champerico,14.3,-91.92,28.61,66,80,0.15
morant bay,17.88,-76.41,25.86,65,20,7.2
